Output_file,variable,description,units,stat,calc,plot_type,ylabel_0,ylabel_1,xlabel,title
csv,net_sz2gw,net volumetric flow rate of gravity drainage from the soil zone to the unsaturated and saturated zones,l3/t,mean_monthly,mean,box,Average monthly flow, cubic feet per day,,net volumetric flow rate of gravity drainage from the soil zone to the unsaturated and saturated zones
csv,net_sz2gw,net volumetric flow rate of gravity drainage from the soil zone to the unsaturated and saturated zones,l3/t,mean_annual,mean,timeseries,Annual average, cubic feet per day,,net volumetric flow rate of gravity drainage from the soil zone to the unsaturated and saturated zones
csv,net_sz2gw,net volumetric flow rate of gravity drainage from the soil zone to the unsaturated and saturated zones,l3/t,mean_annual,mean,box,Average flow, cubic feet per day,,net volumetric flow rate of gravity drainage from the soil zone to the unsaturated and saturated zones
csv,basinsm2gvr,volumetric flow rate of flow from capillary reservoirs to gravity reservoirs,l3/t,mean_monthly,mean,box,Average monthly flow, cubic feet per day,,volumetric flow rate of flow from capillary reservoirs to gravity reservoirs
csv,basinsm2gvr,volumetric flow rate of flow from capillary reservoirs to gravity reservoirs,l3/t,mean_annual,mean,timeseries,Annual average, cubic feet per day,,volumetric flow rate of flow from capillary reservoirs to gravity reservoirs
csv,basinsm2gvr,volumetric flow rate of flow from capillary reservoirs to gravity reservoirs,l3/t,mean_annual,mean,box,Average flow, cubic feet per day,,volumetric flow rate of flow from capillary reservoirs to gravity reservoirs
csv,basininfil2pref,"volumetric flow rate of soil infiltration into preferential-flow reservoirs including precipitation, snowmelt, and cascading surface runoff",l3/t,mean_monthly,mean,box,Average monthly flow, cubic feet per day,,"volumetric flow rate of soil infiltration into preferential-flow reservoirs including precipitation, snowmelt, and cascading surface runoff"
csv,basininfil2pref,"volumetric flow rate of soil infiltration into preferential-flow reservoirs including precipitation, snowmelt, and cascading surface runoff",l3/t,mean_annual,mean,timeseries,Annual average, cubic feet per day,,"volumetric flow rate of soil infiltration into preferential-flow reservoirs including precipitation, snowmelt, and cascading surface runoff"
csv,basininfil2pref,"volumetric flow rate of soil infiltration into preferential-flow reservoirs including precipitation, snowmelt, and cascading surface runoff",l3/t,mean_annual,mean,box,Average flow, cubic feet per day,,"volumetric flow rate of soil infiltration into preferential-flow reservoirs including precipitation, snowmelt, and cascading surface runoff"
csv,basinsrofffarflow,volumetric flow rate of prms surface runoff leaving land surface as far-field flow,l3/t,mean_monthly,mean,box,Average monthly flow, cubic feet per day,,volumetric flow rate of prms surface runoff leaving land surface as far-field flow
csv,basinsrofffarflow,volumetric flow rate of prms surface runoff leaving land surface as far-field flow,l3/t,mean_annual,mean,timeseries,Annual average, cubic feet per day,,volumetric flow rate of prms surface runoff leaving land surface as far-field flow
csv,basinsrofffarflow,volumetric flow rate of prms surface runoff leaving land surface as far-field flow,l3/t,mean_annual,mean,box,Average flow, cubic feet per day,,volumetric flow rate of prms surface runoff leaving land surface as far-field flow
csv,basinfarfieldflow,volumetric flow rate of prms interflow and surface runoff leaving modeled region as far-field flow,l3/t,mean_monthly,mean,box,Average monthly flow, cubic feet per day,,volumetric flow rate of prms interflow and surface runoff leaving modeled region as far-field flow
csv,basinfarfieldflow,volumetric flow rate of prms interflow and surface runoff leaving modeled region as far-field flow,l3/t,mean_annual,mean,timeseries,Annual average, cubic feet per day,,volumetric flow rate of prms interflow and surface runoff leaving modeled region as far-field flow
csv,basinfarfieldflow,volumetric flow rate of prms interflow and surface runoff leaving modeled region as far-field flow,l3/t,mean_annual,mean,box,Average flow, cubic feet per day,,volumetric flow rate of prms interflow and surface runoff leaving modeled region as far-field flow
csv,basinactet,volumetric flow rate of actual evaporation from hrus,l3/t,mean_monthly,mean,box,Average monthly flow, cubic feet per day,,volumetric flow rate of actual evaporation from hrus
csv,basinactet,volumetric flow rate of actual evaporation from hrus,l3/t,mean_annual,mean,timeseries,Annual average, cubic feet per day,,volumetric flow rate of actual evaporation from hrus
csv,basinactet,volumetric flow rate of actual evaporation from hrus,l3/t,mean_annual,mean,box,Average flow, cubic feet per day,,volumetric flow rate of actual evaporation from hrus
csv,basinsnowevap,volumetric flow rate of snowpack sublimation,l3/t,mean_monthly,mean,box,Average monthly flow, cubic feet per day,,volumetric flow rate of snowpack sublimation
csv,basinsnowevap,volumetric flow rate of snowpack sublimation,l3/t,mean_annual,mean,timeseries,Annual average, cubic feet per day,,volumetric flow rate of snowpack sublimation
csv,basinsnowevap,volumetric flow rate of snowpack sublimation,l3/t,mean_annual,mean,box,Average flow, cubic feet per day,,volumetric flow rate of snowpack sublimation
csv,uzf_recharge,volumetric flow rate of recharge from the unsaturated zone to the saturated zone,l3/t,mean_monthly,mean,box,Average monthly flow, cubic feet per day,,volumetric flow rate of recharge from the unsaturated zone to the saturated zone
csv,uzf_recharge,volumetric flow rate of recharge from the unsaturated zone to the saturated zone,l3/t,mean_annual,mean,timeseries,Annual average, cubic feet per day,,volumetric flow rate of recharge from the unsaturated zone to the saturated zone
csv,uzf_recharge,volumetric flow rate of recharge from the unsaturated zone to the saturated zone,l3/t,mean_annual,mean,box,Average flow, cubic feet per day,,volumetric flow rate of recharge from the unsaturated zone to the saturated zone
csv,streambed_loss,volumetric flow rate of stream leakage to the unsaturated and saturated zones,l3/t,mean_monthly,mean,box,Average monthly flow, cubic feet per day,,volumetric flow rate of stream leakage to the unsaturated and saturated zones
csv,streambed_loss,volumetric flow rate of stream leakage to the unsaturated and saturated zones,l3/t,mean_annual,mean,timeseries,Annual average, cubic feet per day,,volumetric flow rate of stream leakage to the unsaturated and saturated zones
csv,streambed_loss,volumetric flow rate of stream leakage to the unsaturated and saturated zones,l3/t,mean_annual,mean,box,Average flow, cubic feet per day,,volumetric flow rate of stream leakage to the unsaturated and saturated zones
csv,basinszfarflow,volumetric flow rate of prms interflow and surface runoff leaving soilzone modeled region as far-field flow,l3/t,mean_monthly,mean,box,Average monthly flow, cubic feet per day,,volumetric flow rate of prms interflow and surface runoff leaving soilzone modeled region as far-field flow
csv,basinszfarflow,volumetric flow rate of prms interflow and surface runoff leaving soilzone modeled region as far-field flow,l3/t,mean_annual,mean,timeseries,Annual average, cubic feet per day,,volumetric flow rate of prms interflow and surface runoff leaving soilzone modeled region as far-field flow
csv,basinszfarflow,volumetric flow rate of prms interflow and surface runoff leaving soilzone modeled region as far-field flow,l3/t,mean_annual,mean,box,Average flow, cubic feet per day,,volumetric flow rate of prms interflow and surface runoff leaving soilzone modeled region as far-field flow
csv,obs_strmflow,volumetric flow rate of streamflow measured at a gaging station,l3/t,mean_monthly,mean,box,Average monthly flow, cubic feet per day,,volumetric flow rate of streamflow measured at a gaging station
csv,obs_strmflow,volumetric flow rate of streamflow measured at a gaging station,l3/t,mean_annual,mean,timeseries,Annual average, cubic feet per day,,volumetric flow rate of streamflow measured at a gaging station
csv,obs_strmflow,volumetric flow rate of streamflow measured at a gaging station,l3/t,mean_annual,mean,box,Average flow, cubic feet per day,,volumetric flow rate of streamflow measured at a gaging station
csv,basinsnowmelt,volumetric flow rate of snowmelt,l3/t,mean_monthly,mean,box,Average monthly flow, cubic feet per day,,volumetric flow rate of snowmelt
csv,basinsnowmelt,volumetric flow rate of snowmelt,l3/t,mean_annual,mean,timeseries,Annual average, cubic feet per day,,volumetric flow rate of snowmelt
csv,basinsnowmelt,volumetric flow rate of snowmelt,l3/t,mean_annual,mean,box,Average flow, cubic feet per day,,volumetric flow rate of snowmelt
csv,basingvr2sm,volumetric flow rate of flow from gravity reservoirs to capillary reservoirs,l3/t,mean_monthly,mean,box,Average monthly flow, cubic feet per day,,volumetric flow rate of flow from gravity reservoirs to capillary reservoirs
csv,basingvr2sm,volumetric flow rate of flow from gravity reservoirs to capillary reservoirs,l3/t,mean_annual,mean,timeseries,Annual average, cubic feet per day,,volumetric flow rate of flow from gravity reservoirs to capillary reservoirs
csv,basingvr2sm,volumetric flow rate of flow from gravity reservoirs to capillary reservoirs,l3/t,mean_annual,mean,box,Average flow, cubic feet per day,,volumetric flow rate of flow from gravity reservoirs to capillary reservoirs
csv,basinstrmflow,volumetric flow rate of streamflow leaving modeled region,l3/t,mean_monthly,mean,box,Average monthly flow, cubic feet per day,,volumetric flow rate of streamflow leaving modeled region
csv,basinstrmflow,volumetric flow rate of streamflow leaving modeled region,l3/t,mean_annual,mean,timeseries,Annual average, cubic feet per day,,volumetric flow rate of streamflow leaving modeled region
csv,basinstrmflow,volumetric flow rate of streamflow leaving modeled region,l3/t,mean_annual,mean,box,Average flow, cubic feet per day,,volumetric flow rate of streamflow leaving modeled region
csv,sat_stor,Volume of water in the saturated zone,l3,mean_monthly,mean,box,Monthly average, cubic feet,,Volume of water in the saturated zone
,sat_stor,Volume of water in the saturated zone,l3,mean_annual,mean,timeseries,Annual average, cubic feet,,Volume of water in the saturated zone
,sat_stor,Volume of water in the saturated zone,l3,mean_annual,mean,box,Average, cubic feet,,Volume of water in the saturated zone
csv,basinhortonian,Basin area-weighted average Hortonian runoff,inches,mean_monthly,sum,box,Average monthly total, inches,,Basin area-weighted average Hortonian runoff
,basinhortonian,Basin area-weighted average Hortonian runoff,inches,mean_annual,sum,timeseries,Annual total, inches,,Basin area-weighted average Hortonian runoff
,basinhortonian,Basin area-weighted average Hortonian runoff,inches,mean_annual,sum,box,Average annual total, inches,,Basin area-weighted average Hortonian runoff
csv,unsat_stor,Volume of water in the unsaturated zone,l3,mean_monthly,mean,box,Monthly average, cubic feet,,Volume of water in the unsaturated zone
,unsat_stor,Volume of water in the unsaturated zone,l3,mean_annual,mean,timeseries,Annual average, cubic feet,,Volume of water in the unsaturated zone
,unsat_stor,Volume of water in the unsaturated zone,l3,mean_annual,mean,box,Average, cubic feet,,Volume of water in the unsaturated zone
